Grade,Level,2018-total-maths,2018-female-maths,2018-male-maths,2018-total-eng,2018-female-eng,2018-male-eng
1,H,891,245,646,1086,658,428
2,H,2271,998,1273,3825,2383,1442
3,H,3150,1516,1634,7632,4444,3188
4,H,3633,1864,1769,10691,6024,4667
5,H,3407,1738,1669,9285,4860,4425
6,H,2192,1104,1088,4675,2213,2462
7,H,990,493,497,889,379,510
8,H,303,138,165,200,65,135
1,O,482,314,168,214,123,91
2,O,3392,1979,1413,1190,634,556
3,O,6484,3524,2960,3086,1402,1684
4,O,7551,3981,3570,4163,1707,2456
5,O,6348,3260,3088,3328,1194,2134
6,O,4062,1948,2114,1811,539,1272
7,O,1870,868,1002,667,172,495
8,O,1147,436,711,294,53,241
1,F,159,60,99,,,
2,F,564,211,353,,,
3,F,1040,476,564,,,
4,F,1235,619,616,,,
5,F,1052,550,502,,,
6,F,728,392,336,,,
7,F,269,154,115,,,
8,F,171,94,77,,,
