 , ,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
Both sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,At work,..,1418.4,1438,1474.1,1484.2,1505.2,1523,1563.1,1577.7,1581,1599,1629.6,1640.2,1641.3,1664,1686.5,1690.1,1685.2,1700.2,1710.1,1705.1,1709,1721.6,1739.5,1755.3,1763.7,1784.8,1809.1,1832.3,1844.8,1867,1900.5,1919.4,1936.5,1954.9,1987.9,2017.6,2031.1,2049.6,2064,2073.2,2066.2,2060.3,2039.9,2014,1925.1,1903.3,1874.1,1859.3,1828.3,1828.5,1813.5,1794.5,1801,1813.4,1787.9,1793.9,1771.6,1773.5,1773.3,1788.1,1785.5,1803.5,1828.5,1849.1,1834.3,1842.6,1859.5,1877.9,1876.8,1902.8,1922.8,1930.5,1926.1,1941.1,1961.7,1987.1,1990.7,2007.6
 ,Unemployed,..,158.8,152.9,149.7,136.9,130.7,125,122.5,113.6,115.3,108.4,114.2,104.4,102.2,99.3,114.4,111.9,118.6,117.6,126.2,116.5,117.1,115.7,122.7,115.8,118.1,111.2,117.5,109.4,111.8,114.8,120.7,114.8,117.3,118.7,125.4,115.5,123.9,123.5,129.2,125.9,137.6,146.9,176.7,206.2,272.2,316.4,342.3,346.9,356.7,355.8,364.3,367.2,365.7,364.1,382.4,372.4,371.2,373.1,371.7,357.7,342.2,330,326.7,303.5,306.5,298.1,294.8,263.9,263.1,245,246.9,229.6,222.7,221.8,220.6,194.1,188.9,181.3
 ,Student,..,357.9,358.6,334.7,350.3,355.9,353.5,330.7,349.2,360.8,359.6,336,353.6,367.4,361.2,337.9,359,370,367.4,349.6,370.6,374.6,377.2,352.2,370.9,368.7,366.8,347.5,358.3,369.6,362.1,344,361.8,362.1,360.9,346.3,358.6,365.5,367.6,362.3,370.9,377.1,381.4,372.2,386.1,396,385.4,375.2,380.4,408.9,399.6,394.6,400.5,403,399.6,387.4,387.6,406.7,398.7,399.6,413.1,427.3,415.3,398.6,415.5,421.9,411.6,401,415.1,419.3,409.9,388.8,408.7,419.6,408.8,392.9,402.8,417.8,412.6
 ,Engaged on home duties,..,588.4,587,591.2,591.7,582.2,576.7,581,574.9,567.3,564.2,564.2,565.3,561.3,557.2,558.1,557,553.4,553.3,559.2,566.7,565.2,559.2,568.4,562.9,562.6,558.8,564.8,560.9,552.6,545.1,547.1,544,539.4,533.2,549.6,547.6,534.7,532.1,529.3,534.8,535.1,536.6,538,545.1,545.6,542.5,547.9,547.5,540.2,534.8,540,544.6,530.2,521,534.8,529.9,525.3,514.3,513.5,499.5,488.7,486.7,478.1,473.7,476.1,478.1,470.3,476.3,475.5,476.7,477.1,458.4,455,454.6,445.2,436,431.6,427.7
 ,Retired from employment,..,254.7,253.2,254.4,250.3,248.2,248.4,245.7,247.8,248.3,252.7,254.4,255,255.2,257.3,256.9,256.6,259.3,261.5,264.8,266.5,267.1,269.3,273.8,270.9,276.2,277.5,277.1,278.7,280,285.6,286.3,288.3,289.5,288.4,289.2,287.7,292.9,298.1,304.1,306,310.3,311.3,314,309.3,313.8,315.1,318,328,327.4,338.6,343.4,346.3,348.3,358.3,359.1,362.1,371.2,383.4,391.7,391.9,401.7,404,405.5,405.9,407.2,410.5,416.7,417.8,420.1,418.3,424.4,431.1,441.7,444.3,457.7,467.1,467.7,477.3
 ,Other,..,79.1,82.7,84.2,87.2,84.1,88.4,87.5,84.2,81.4,81,83.4,85.6,84.2,85.9,90,90.2,91.9,93.9,99.5,102.3,106.6,106.5,109.5,108.4,105.6,108.1,113,114,111.2,113.4,115.8,114.5,118.1,120.1,116.2,119.3,124.6,127.3,131.6,132.9,135.5,138.5,141.4,128.3,141,137.5,141.4,137.3,137.6,140.9,143,146,150.9,142.9,146.5,148.9,147.8,148,145.7,146.2,149.1,146.9,155.5,149.6,150.5,152.8,153.3,150.8,152.5,154.4,153.2,160.3,161.1,167.1,170.6,167.8,169.5,175.4
 ,All principal economic status,..,2857.2,2872.4,2888.5,2900.4,2906.3,2915,2930.5,2947.4,2954.2,2965,2981.9,3004.1,3011.7,3024.8,3043.8,3064.8,3078.4,3093.9,3109.5,3127.7,3139.5,3149.6,3166.1,3184.3,3194.9,3207.2,3228.9,3253.6,3270.1,3287.9,3314.6,3342.8,3362.9,3376.1,3414.6,3446.4,3472.7,3498.2,3520.5,3543.7,3561.9,3575,3582.3,3589.1,3593.8,3600.2,3598.9,3599.4,3599.1,3598.2,3598.8,3599,3599.1,3599.1,3598.1,3594.7,3593.8,3591,3595.5,3596.5,3594.5,3586.3,3592.8,3597.4,3596.5,3593.9,3595.6,3601.9,3607.3,3607.1,3613.3,3618.5,3626.1,3637.7,3648.5,3654.8,3666.3,3681.9
Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,At work,..,873,883.9,903.2,911.7,917.3,926.1,948.8,958,959.5,964,979.1,985.5,986.2,996.8,1004.3,1003.1,996.9,1001.8,1008.4,1002.8,1004.3,1012,1022.6,1031.3,1035.7,1045.9,1060.8,1072.6,1076.9,1087.3,1111.3,1121.7,1131.9,1139.8,1157.4,1171.2,1175.1,1184,1188.4,1189,1177.5,1170.9,1151.3,1127.9,1066.4,1039.8,1018.4,1004.3,983.2,985.1,980.4,963.3,967,970.2,963.8,963.4,950.6,949.6,952.4,960,962.2,974.4,993.4,1008.6,997.4,1001.1,1014.7,1025.3,1025.5,1038.5,1052.2,1050.6,1044.8,1058.4,1068.2,1085.8,1084.4,1091.9
 ,Unemployed,..,115.2,109.3,107.3,98.5,94.2,90,86.2,78.6,78,74.5,75.4,70.9,69.4,66.8,75.8,76.9,81.4,81.5,84.1,83.3,83.8,80.7,84.5,81.3,84.4,79.6,78.9,77.1,78.7,81.3,81.9,78.1,80.3,80.6,86.1,80.8,84,84.3,85.1,90.9,100.4,106,127.9,152.8,204.6,234,246.4,254.4,262.7,257.6,260.2,267.8,264.1,260.6,270.3,266.3,264.7,265.2,260.7,252.3,237.7,227.7,221.4,202.9,206.8,197.6,191.4,176.8,177.9,164,165.4,158.3,154.4,149.8,147.4,128.7,124.2,119.9
